Title,Genre,Cast,Language,Year,Rating
HIT: The Second Case,Thriller,"Adivi Sesh,Meenakshi Chaudhary",Telugu,2022,7.2
Goodachari,Spy,"Adivi Sesh,Sobhita Dhulipala",Telugu,2018,7.8
Kshanam,Thriller,"Adivi Sesh,Adah Sharma",Telugu,2016,8.2
Major,Biography,"Adivi Sesh,Sobhita Dhulipala,Sai Manjrekar",Telugu,2022,8.1
C/o Kancharapalem,Drama,"Subba Rao,Vijaya Praveena",Telugu,2018,8.8
Fidaa,Romance,"Varun Tej,Sai Pallavi",Telugu,2017,7.4
Tholi Prema,Romance,"Varun Tej,Raashi Khanna",Telugu,2018,7.1
Gaddalakonda Ganesh,Action,"Varun Tej,Pooja Hegde,Atharvaa",Telugu,2019,7.0
Kanche,War,"Varun Tej,Pragya Jaiswal",Telugu,2015,7.9
Loafer,Action,"Varun Tej,Disha Patani",Telugu,2015,6.5
Operation Valentine,Action,"Varun Tej,Manushi Chhillar",Telugu,2024,6.4
Mukunda,Drama,"Varun Tej,Pooja Hegde",Telugu,2014,6.7
Ghani,Sports,"Varun Tej,Sai Manjrekar",Telugu,2022,4.5
F2: Fun and Frustration,Comedy,"Venkatesh,Varun Tej,Tamannaah,Mehreen Pirzada",Telugu,2019,6.8
F3: Fun and Frustration,Comedy,"Venkatesh,Varun Tej,Tamannaah,Mehreen Pirzada",Telugu,2022,4.8
Bheemla Nayak,Action,"Pawan Kalyan,Rana Daggubati,Nithya Menen",Telugu,2022,6.2
Gabbar Singh,Action,"Pawan Kalyan,Shruti Haasan",Telugu,2012,7.1
Attarintiki Daredi,Family,"Pawan Kalyan,Samantha Ruth Prabhu",Telugu,2013,7.3
Vakeel Saab,Drama,"Pawan Kalyan,Nivetha Thomas,Anjali",Telugu,2021,6.9
Bro,Fantasy,"Pawan Kalyan,Sai Dharam Tej,Priya Prakash Varrier",Telugu,2023,6.2
Balu,Action,"Pawan Kalyan,Shriya Saran",Telugu,2005,6.9
Jalsa,Comedy,"Pawan Kalyan,Ileana D'Cruz",Telugu,2008,7.3
Thammudu,Sports,"Pawan Kalyan,Preeti Jhangiani",Telugu,1999,7.8
Badri,Romance,"Pawan Kalyan,Amisha Patel,Renu Desai",Telugu,2000,7.4
Khushi,Romance,"Pawan Kalyan,Bhumika Chawla",Telugu,2001,8.1
Virupaksha,Horror,"Sai Dharam Tej,Samyuktha Menon",Telugu,2023,7.3
Republic,Drama,"Sai Dharam Tej,Aishwarya Rajesh",Telugu,2021,7.8
Solo Brathuke So Better,Romance,"Sai Dharam Tej,Nabha Natesh",Telugu,2020,6.4
Supreme,Action,"Sai Dharam Tej,Raashi Khanna",Telugu,2016,6.8
Pilla Nuvvu Leni Jeevitham,Action,"Sai Dharam Tej,Regina Cassandra",Telugu,2014,6.6
Virata Parvam,Drama,"Rana Daggubati,Sai Pallavi",Telugu,2022,6.8
Leader,Political,"Rana Daggubati,Richa Gangopadhyay",Telugu,2010,8.0
Nene Raju Nene Mantri,Political,"Rana Daggubati,Kajal Aggarwal",Telugu,2017,7.5
Krishnam Vande Jagadgurum,Drama,"Rana Daggubati,Nayanthara",Telugu,2012,7.5
Rudhramadevi,Historical,"Anushka Shetty,Allu Arjun,Rana Daggubati",Telugu,2015,6.7
Love Story,Romance,"Naga Chaitanya,Sai Pallavi",Telugu,2021,6.8
Majili,Romance,"Naga Chaitanya,Samantha Ruth Prabhu",Telugu,2019,7.2
Ye Maaya Chesave,Romance,"Naga Chaitanya,Samantha Ruth Prabhu",Telugu,2010,7.6
100% Love,Romance,"Naga Chaitanya,Tamannaah",Telugu,2011,7.0
Premam,Romance,"Naga Chaitanya,Shruti Haasan,Anupama Parameswaran",Telugu,2016,7.2
Custody,Action,"Naga Chaitanya,Krithi Shetty",Telugu,2023,5.8
Thank You,Drama,"Naga Chaitanya,Raashi Khanna",Telugu,2022,5.7
Savyasachi,Action,"Naga Chaitanya,Nidhhi Agerwal",Telugu,2018,5.4
Josh,Drama,"Naga Chaitanya,Karthika Nair",Telugu,2009,6.0
Dohchay,Crime,"Naga Chaitanya,Kriti Sanon",Telugu,2015,6.4
Geetha Govindam,Romance,"Vijay Deverakonda,Rashmika Mandanna",Telugu,2018,7.7
Dear Comrade,Romance,"Vijay Deverakonda,Rashmika Mandanna",Telugu,2019,7.3
Taxiwaala,Fantasy,"Vijay Deverakonda,Priyanka Jawalkar",Telugu,2018,7.1
Pelli Choopulu,Romance,"Vijay Deverakonda,Ritu Varma",Telugu,2016,8.2
World Famous Lover,Romance,"Vijay Deverakonda,Raashi Khanna,Aishwarya Rajesh",Telugu,2020,5.2
Liger,Action,"Vijay Deverakonda,Ananya Panday",Telugu,2022,2.7
Kushi,Romance,"Vijay Deverakonda,Samantha Ruth Prabhu",Telugu,2023,5.9
Family Star,Drama,"Vijay Deverakonda,Mrunal Thakur",Telugu,2024,5.4
Khaleja,Fantasy,"Mahesh Babu,Anushka Shetty",Telugu,2010,7.6
Dookudu,Action,"Mahesh Babu,Samantha Ruth Prabhu",Telugu,2011,7.4
Sarileru Neekevvaru,Action,"Mahesh Babu,Rashmika Mandanna",Telugu,2020,6.0
SVSC,Family,"Mahesh Babu,Venkatesh,Anjali,Samantha Ruth Prabhu",Telugu,2013,7.5
Guntur Kaaram,Action,"Mahesh Babu,Sreeleela,Meenakshi Chaudhary",Telugu,2024,5.8
Murari,Family,"Mahesh Babu,Sonali Bendre",Telugu,2001,8.1
Arjun,Action,"Mahesh Babu,Shriya Saran",Telugu,2004,7.0
Nijam,Drama,"Mahesh Babu,Rakshita",Telugu,2003,7.1
Okkadu,Action,"Mahesh Babu,Bhumika Chawla",Telugu,2003,8.2
Aagadu,Action,"Mahesh Babu,Tamannaah",Telugu,2014,5.3
1: Nenokkadine,Thriller,"Mahesh Babu,Kriti Sanon",Telugu,2014,8.0
Spyder,Action,"Mahesh Babu,Rakul Preet Singh",Telugu,2017,6.4
Bharat Ane Nenu,Political,"Mahesh Babu,Kiara Advani",Telugu,2018,7.5
Seethamma Vakitlo Sirimalle Chettu,Family,"Mahesh Babu,Venkatesh,Samantha Ruth Prabhu,Anjali",Telugu,2013,7.5
Pandaga Chesko,Comedy,"Ram Pothineni,Rakul Preet Singh",Telugu,2015,5.7
Ready,Comedy,"Ram Pothineni,Genelia D'Souza",Telugu,2008,7.3
iSmart Shankar,Action,"Ram Pothineni,Nabha Natesh,Nidhhi Agerwal",Telugu,2019,6.3
The Warriorr,Action,"Ram Pothineni,Krithi Shetty",Telugu,2022,5.2
RED,Thriller,"Ram Pothineni,Nivetha Pethuraj",Telugu,2021,6.4
Skanda,Action,"Ram Pothineni,Sreeleela",Telugu,2023,4.5
Nenu Sailaja,Romance,"Ram Pothineni,Keerthy Suresh",Telugu,2016,7.1
Hello Guru Prema Kosame,Romance,"Ram Pothineni,Anupama Parameswaran",Telugu,2018,6.8
Kandireega,Comedy,"Ram Pothineni,Hansika Motwani",Telugu,2011,6.5
Krack,Action,"Ravi Teja,Shruti Haasan",Telugu,2021,7.2
Kick,Comedy,"Ravi Teja,Ileana D'Cruz",Telugu,2009,8.0
Kick 2,Action,"Ravi Teja,Rakul Preet Singh",Telugu,2015,5.5
Balupu,Action,"Ravi Teja,Shruti Haasan,Anjali",Telugu,2013,6.8
Raja The Great,Comedy,"Ravi Teja,Mehreen Pirzada",Telugu,2017,7.0
Dhamaka,Action,"Ravi Teja,Sreeleela",Telugu,2022,6.0
Eagle,Action,"Ravi Teja,Anupama Parameswaran,Kavya Thapar",Telugu,2024,6.1
Disco Raja,Sci-Fi,"Ravi Teja,Nabha Natesh",Telugu,2020,6.1
Power,Action,"Ravi Teja,Hansika Motwani,Regina Cassandra",Telugu,2014,6.4
Bengal Tiger,Action,"Ravi Teja,Tamannaah,Raashi Khanna",Telugu,2015,5.9
Bhadra,Action,"Ravi Teja,Meera Jasmine",Telugu,2005,7.1
Venky,Comedy,"Ravi Teja,Sneha",Telugu,2004,7.9
Dubai Seenu,Comedy,"Ravi Teja,Nayanthara",Telugu,2007,7.0
Neninthe,Drama,"Ravi Teja,Siya Gautham",Telugu,2008,7.7
Anjaneyulu,Comedy,"Ravi Teja,Nayanthara",Telugu,2009,5.8
Venky Mama,Family,"Venkatesh,Naga Chaitanya,Payal Rajput,Raashi Khanna",Telugu,2019,5.5
Drushyam,Thriller,"Venkatesh,Meena",Telugu,2014,8.2
Drushyam 2,Thriller,"Venkatesh,Meena",Telugu,2021,8.1
Guru,Sports,"Venkatesh,Ritika Singh",Telugu,2017,7.9
Narappa,Drama,"Venkatesh,Priyamani",Telugu,2021,7.8
Malliswari,Romance,"Venkatesh,Katrina Kaif",Telugu,2004,7.8
Tulasi,Action,"Venkatesh,Nayanthara",Telugu,2007,7.1
Lakshmi,Action,"Venkatesh,Nayanthara",Telugu,2006,7.3
Sankranthiki Vasthunam,Family,"Venkatesh,Aishwarya Rajesh,Meenakshi Chaudhary",Telugu,2025,7.0
Aadavari Matalaku Ardhalu Verule,Romance,"Venkatesh,Trisha Krishnan",Telugu,2007,7.5
Masooda,Horror,"Sangeetha,Thiruveer,Kavya Kalyanram",Telugu,2022,7.3
Colour Photo,Romance,"Suhas,Chandini Chowdary",Telugu,2020,8.2
Writer Padmabhushan,Comedy,"Suhas,Tina Shilparaj",Telugu,2023,7.8
Ambajipeta Marriage Band,Drama,"Suhas,Shivani Nagaram",Telugu,2024,7.4
Hanuman,Superhero,"Teja Sajja,Amritha Aiyer,Varalaxmi Sarathkumar",Telugu,2024,7.9
Sholay,Action,"Amitabh Bachchan,Dharmendra,Hema Malini",Hindi,1975,8.1
Deewaar,Drama,"Amitabh Bachchan,Shashi Kapoor,Parveen Babi",Hindi,1975,8.0
Don,Action,"Amitabh Bachchan,Zeenat Aman",Hindi,1978,7.7
Amar Akbar Anthony,Comedy,"Amitabh Bachchan,Vinod Khanna,Rishi Kapoor",Hindi,1977,7.4
Zanjeer,Action,"Amitabh Bachchan,Jaya Bachchan",Hindi,1973,7.5
Dilwale Dulhania Le Jayenge,Romance,"Shah Rukh Khan,Kajol",Hindi,1995,8.0
Kuch Kuch Hota Hai,Romance,"Shah Rukh Khan,Kajol,Rani Mukerji",Hindi,1998,7.5
Kabhi Khushi Kabhie Gham,Drama,"Shah Rukh Khan,Kajol,Amitabh Bachchan",Hindi,2001,7.4
Kal Ho Naa Ho,Drama,"Shah Rukh Khan,Preity Zinta,Saif Ali Khan",Hindi,2003,7.9
Veer-Zaara,Romance,"Shah Rukh Khan,Preity Zinta,Rani Mukerji",Hindi,2004,7.8
Chak De! India,Sports,"Shah Rukh Khan,Vidya Malvade",Hindi,2007,8.1
Om Shanti Om,Comedy,"Shah Rukh Khan,Deepika Padukone",Hindi,2007,6.8
My Name Is Khan,Drama,"Shah Rukh Khan,Kajol",Hindi,2010,7.9
Raees,Action,"Shah Rukh Khan,Mahira Khan",Hindi,2017,6.6
Fan,Thriller,"Shah Rukh Khan,Shriya Pilgaonkar",Hindi,2016,7.0
Pathaan,Action,"Shah Rukh Khan,Deepika Padukone,John Abraham",Hindi,2023,6.6
Jawan,Action,"Shah Rukh Khan,Nayanthara,Vijay Sethupathi",Hindi,2023,7.0
Dunki,Comedy,"Shah Rukh Khan,Taapsee Pannu",Hindi,2023,6.8
3 Idiots,Comedy,"Aamir Khan,R. Madhavan,Sharman Joshi,Kareena Kapoor",Hindi,2009,8.4
PK,Comedy,"Aamir Khan,Anushka Sharma",Hindi,2014,8.1
Dangal,Drama,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",Hindi,2016,8.3
Ghajini,Action,"Aamir Khan,Asin",Hindi,2008,7.3
Rang De Basanti,Drama,"Aamir Khan,Siddharth,Soha Ali Khan",Hindi,2006,8.1
Taare Zameen Par,Drama,"Aamir Khan,Darsheel Safary",Hindi,2007,8.3
Lagaan,Sports,"Aamir Khan,Gracy Singh",Hindi,2001,8.1
Secret Superstar,Drama,"Aamir Khan,Zaira Wasim",Hindi,2017,7.8
Bajrangi Bhaijaan,Drama,"Salman Khan,Kareena Kapoor,Nawazuddin Siddiqui",Hindi,2015,8.1
Sultan,Sports,"Salman Khan,Anushka Sharma",Hindi,2016,7.0
Tiger Zinda Hai,Action,"Salman Khan,Katrina Kaif",Hindi,2017,5.9
Ek Tha Tiger,Action,"Salman Khan,Katrina Kaif",Hindi,2012,7.0
Kick,Action,"Salman Khan,Jacqueline Fernandez",Hindi,2014,5.3
Wanted,Action,"Salman Khan,Ayesha Takia",Hindi,2009,6.6
Bodyguard,Romance,"Salman Khan,Kareena Kapoor",Hindi,2011,4.7
Hum Aapke Hain Koun,Family,"Salman Khan,Madhuri Dixit",Hindi,1994,7.5
War,Action,"Hrithik Roshan,Tiger Shroff,Vaani Kapoor",Hindi,2019,6.5
Krrish,Superhero,"Hrithik Roshan,Priyanka Chopra",Hindi,2006,6.4
Krrish 3,Superhero,"Hrithik Roshan,Priyanka Chopra,Kangana Ranaut",Hindi,2013,5.3
Zindagi Na Milegi Dobara,Comedy,"Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif",Hindi,2011,8.2
Super 30,Biography,"Hrithik Roshan,Mrunal Thakur",Hindi,2019,7.9
Lakshya,War,"Hrithik Roshan,Preity Zinta",Hindi,2004,7.8
Bang Bang!,Action,"Hrithik Roshan,Katrina Kaif",Hindi,2014,5.6
Barfi!,Drama,"Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz",Hindi,2012,8.1
Rockstar,Drama,"Ranbir Kapoor,Nargis Fakhri",Hindi,2011,7.7
Yeh Jawaani Hai Deewani,Romance,"Ranbir Kapoor,Deepika Padukone",Hindi,2013,7.2
Sanju,Biography,"Ranbir Kapoor,Paresh Rawal,Vicky Kaushal",Hindi,2018,7.6
Animal,Action,"Ranbir Kapoor,Rashmika Mandanna",Hindi,2023,6.8
Tamasha,Drama,"Ranbir Kapoor,Deepika Padukone",Hindi,2015,7.3
Ae Dil Hai Mushkil,Romance,"Ranbir Kapoor,Anushka Sharma,Aishwarya Rai",Hindi,2016,5.8
Wake Up Sid,Drama,"Ranbir Kapoor,Konkona Sen Sharma",Hindi,2009,7.6
Brahmāstra: Part One – Shiva,Fantasy,"Ranbir Kapoor,Alia Bhatt,Amitabh Bachchan",Hindi,2022,5.6
Rocky Aur Rani Kii Prem Kahaani,Romance,"Ranveer Singh,Alia Bhatt,Dharmendra",Hindi,2023,6.8
Gully Boy,Drama,"Ranveer Singh,Alia Bhatt,Siddhant Chaturvedi",Hindi,2019,7.9
83,Sports,"Ranveer Singh,Deepika Padukone",Hindi,2021,7.5
Padmaavat,Historical,"Ranveer Singh,Deepika Padukone,Shahid Kapoor",Hindi,2018,7.0
Simmba,Action,"Ranveer Singh,Sara Ali Khan",Hindi,2018,5.5
Bajirao Mastani,Historical,"Ranveer Singh,Deepika Padukone,Priyanka Chopra",Hindi,2015,7.2
Dil Dhadakne Do,Drama,"Ranveer Singh,Priyanka Chopra,Anil Kapoor",Hindi,2015,7.0
Band Baaja Baaraat,Romance,"Ranveer Singh,Anushka Sharma",Hindi,2010,7.2
Goliyon Ki Raasleela Ram-Leela,Romance,"Ranveer Singh,Deepika Padukone",Hindi,2013,6.4
Lootera,Drama,"Ranveer Singh,Sonakshi Sinha",Hindi,2013,7.3
Kabir Singh,Romance,"Shahid Kapoor,Kiara Advani",Hindi,2019,7.0
Haider,Crime,"Shahid Kapoor,Tabu,Shraddha Kapoor",Hindi,2014,8.1
Jab We Met,Romance,"Shahid Kapoor,Kareena Kapoor",Hindi,2007,7.9
Kaminey,Crime,"Shahid Kapoor,Priyanka Chopra",Hindi,2009,7.4
Udta Punjab,Crime,"Shahid Kapoor,Alia Bhatt,Kareena Kapoor",Hindi,2016,7.7
Vivah,Romance,"Shahid Kapoor,Amrita Rao",Hindi,2006,6.7
R... Rajkumar,Action,"Shahid Kapoor,Sonakshi Sinha",Hindi,2013,5.2
Bloody Daddy,Action,"Shahid Kapoor,Diana Penty",Hindi,2023,6.8
Bhool Bhulaiyaa,Horror,"Akshay Kumar,Vidya Balan,Shiney Ahuja",Hindi,2007,7.4
Bhool Bhulaiyaa 2,Comedy,"Kartik Aaryan,Kiara Advani,Tabu",Hindi,2022,5.8
Bhool Bhulaiyaa 3,Comedy,"Kartik Aaryan,Vidya Balan,Triptii Dimri",Hindi,2024,6.0
Hera Pheri,Comedy,"Akshay Kumar,Suniel Shetty,Paresh Rawal",Hindi,2000,8.2
Phir Hera Pheri,Comedy,"Akshay Kumar,Suniel Shetty,Paresh Rawal",Hindi,2006,7.3
OMG: Oh My God!,Comedy,"Akshay Kumar,Paresh Rawal",Hindi,2012,8.1
Special 26,Crime,"Akshay Kumar,Manoj Bajpayee,Anupam Kher",Hindi,2013,8.0
Airlift,Drama,"Akshay Kumar,Nimrat Kaur",Hindi,2016,7.9
Kesari,War,"Akshay Kumar,Parineeti Chopra",Hindi,2019,7.4
Mission Mangal,Drama,"Akshay Kumar,Vidya Balan,Taapsee Pannu",Hindi,2019,6.5
Housefull,Comedy,"Akshay Kumar,Deepika Padukone,Riteish Deshmukh",Hindi,2010,5.5
Rowdy Rathore,Action,"Akshay Kumar,Sonakshi Sinha",Hindi,2012,5.8
Drishyam,Thriller,"Ajay Devgn,Shriya Saran,Tabu",Hindi,2015,8.2
Drishyam 2,Thriller,"Ajay Devgn,Tabu,Akshaye Khanna",Hindi,2022,8.2
Singham,Action,"Ajay Devgn,Kajal Aggarwal",Hindi,2011,6.8
Singham Again,Action,"Ajay Devgn,Kareena Kapoor,Deepika Padukone",Hindi,2024,5.9
Raid,Crime,"Ajay Devgn,Ileana D'Cruz",Hindi,2018,7.4
Raid 2,Crime,"Ajay Devgn,Vaani Kapoor",Hindi,2025,6.8
Shaitaan,Horror,"Ajay Devgn,R. Madhavan,Janki Bodiwala",Hindi,2024,6.7
Tanhaji: The Unsung Warrior,Historical,"Ajay Devgn,Kajol,Saif Ali Khan",Hindi,2020,7.5
Golmaal: Fun Unlimited,Comedy,"Ajay Devgn,Arshad Warsi,Tusshar Kapoor",Hindi,2006,7.4
Golmaal Returns,Comedy,"Ajay Devgn,Kareena Kapoor",Hindi,2008,5.7
Golmaal 3,Comedy,"Ajay Devgn,Kareena Kapoor,Mithun Chakraborty",Hindi,2010,5.5
Golmaal Again,Comedy,"Ajay Devgn,Parineeti Chopra,Tabu",Hindi,2017,5.0
Article 15,Crime,"Ayushmann Khurrana,Isha Talwar",Hindi,2019,8.1
Andhadhun,Thriller,"Ayushmann Khurrana,Tabu,Radhika Apte",Hindi,2018,8.2
Dream Girl,Comedy,"Ayushmann Khurrana,Nushrratt Bharuccha",Hindi,2019,7.0
Badhaai Ho,Comedy,"Ayushmann Khurrana,Sanya Malhotra",Hindi,2018,8.0
Vicky Donor,Comedy,"Ayushmann Khurrana,Yami Gautam",Hindi,2012,7.8
Chhichhore,Comedy,"Sushant Singh Rajput,Shraddha Kapoor",Hindi,2019,8.3
MS Dhoni: The Untold Story,Biography,"Sushant Singh Rajput,Kiara Advani,Disha Patani",Hindi,2016,8.0
Kai Po Che!,Drama,"Sushant Singh Rajput,Rajkummar Rao,Amit Sadh",Hindi,2013,7.8
Inception,Sci-Fi,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",English,2010,8.8
Interstellar,Sci-Fi,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",English,2014,8.7
The Dark Knight,Action,"Christian Bale,Heath Ledger",English,2008,9.0
The Dark Knight Rises,Action,"Christian Bale,Tom Hardy,Anne Hathaway",English,2012,8.4
Batman Begins,Action,"Christian Bale,Michael Caine,Liam Neeson",English,2005,8.2
Avengers: Endgame,Action,"Robert Downey Jr.,Chris Evans,Scarlett Johansson",English,2019,8.4
